id,key,value,type
163791377,highway,stop,regular
163792696,highway,traffic_signals,regular
163792699,crossing,zebra,regular
163792699,highway,crossing,regular
163792705,highway,traffic_signals,regular
163796797,highway,traffic_signals,regular
163796804,highway,traffic_signals,regular
163796806,highway,traffic_signals,regular
163796807,highway,traffic_signals,regular
163796824,highway,give_way,regular
163885341,highway,traffic_signals,regular
163889927,highway,traffic_signals,regular
163893106,highway,traffic_signals,regular
163893107,highway,traffic_signals,regular
167717454,exit_to,Multiplaza Escazú,regular
167717454,highway,motorway_junction,regular
167717454,name,A Multiplaza Escazú,regular
167719442,exit_to,Hotel Sheraton,regular
167719442,highway,motorway_junction,regular
167719442,name,Hotel Sheraton,regular
167719454,exit_to,Multiplaza Escazú,regular
167719454,highway,motorway_junction,regular
167719454,name,Multiplaza Escazú,regular
167733585,exit_to,Santa Ana o  CN 147,regular
167733585,highway,motorway_junction,regular
167733585,name,Santa Ana,regular
167737300,exit_to,Santa Ana o  CN 147,regular
167737300,highway,motorway_junction,regular
167737300,name,Exit Santa Ana,regular
167742181,crossing,no,regular
167742181,highway,traffic_signals,regular
168139831,highway,traffic_signals,regular
168140091,highway,traffic_signals,regular
169039519,highway,traffic_signals,regular
169039525,highway,traffic_signals,regular
169039628,highway,traffic_signals,regular
169039631,highway,traffic_signals,regular
169039641,highway,traffic_signals,regular
169039665,highway,traffic_signals,regular
169066169,highway,traffic_signals,regular
169066174,highway,traffic_signals,regular
169066174,traffic_signals,signal,regular
169066183,highway,traffic_signals,regular
169066183,traffic_signals,signal,regular
174044636,highway,traffic_signals,regular
174044636,source,KG Ground Survey 2014,regular
174045755,highway,traffic_signals,regular
174045755,source,KG Ground Survey 2014,regular
174045756,highway,traffic_signals,regular
174045756,source,KG Ground Survey 2014,regular
174045757,highway,traffic_signals,regular
174045757,source,KG Ground Survey 2014,regular
174045761,highway,traffic_signals,regular
174045761,source,KG Ground Survey 2014,regular
174045762,highway,traffic_signals,regular
174045762,source,KG Ground Survey 2014,regular
174046782,highway,traffic_signals,regular
174046782,source,KG Ground Survey 2014,regular
174058946,highway,traffic_signals,regular
174058946,source,KG Ground Survey 2014,regular
175598983,highway,traffic_signals,regular
175598999,highway,traffic_signals,regular
178151948,highway,traffic_signals,regular
178151948,source,KG Ground Survey 2014,regular
178151951,highway,traffic_signals,regular
178151953,highway,traffic_signals,regular
178151953,traffic_signals,signal,regular
178172028,highway,traffic_signals,regular
178172028,source,KG Ground Survey 2014,regular
178172423,highway,traffic_signals,regular
178172423,source,KG Ground Survey 2014,regular
178172426,highway,traffic_signals,regular
178172426,source,KG Ground Survey 2014,regular
178172428,highway,traffic_signals,regular
178172428,source,KG Ground Survey 2014,regular
178174992,highway,traffic_signals,regular
178174992,traffic_signals,signal,regular
178174995,highway,traffic_signals,regular
178174995,traffic_signals,signal,regular
178174997,highway,traffic_signals,regular
178174997,traffic_signals,signal,regular
178177831,railway,level_crossing,regular
178178278,highway,traffic_signals,regular
178178278,traffic_signals,signal,regular
178178279,highway,traffic_signals,regular
178178279,traffic_signals,signal,regular
178178280,highway,traffic_signals,regular
178178280,traffic_signals,signal,regular
178199393,highway,traffic_signals,regular
178199393,source,KG Ground Survey 2014,regular
178201332,highway,traffic_signals,regular
178201334,highway,traffic_signals,regular
178201334,source,KG Ground Survey 2014,regular
178201336,crossing,traffic_signals,regular
178201336,highway,traffic_signals,regular
178202607,highway,traffic_signals,regular
178202607,source,KG Ground Survey 2014,regular
178202634,highway,traffic_signals,regular
178202634,source,KG Ground Survey 2014,regular
180260193,highway,traffic_signals,regular
180260193,source,KG Ground Survey 2014,regular
180260194,highway,traffic_signals,regular
180263768,highway,traffic_signals,regular
180263768,source,KG Ground Survey 2014,regular
180268531,highway,traffic_signals,regular
180268531,source,KG Ground Survey 2014,regular
180270817,highway,traffic_signals,regular
180270817,source,KG Ground Survey 2014,regular
180270821,highway,traffic_signals,regular
180270821,source,KG Ground Survey 2014,regular
180272677,highway,traffic_signals,regular
180272677,source,KG Ground Survey 2014,regular
180272688,highway,traffic_signals,regular
197698100,admin_level,2,regular
197698100,capital,yes,regular
197698100,is_in,Costa Rica,regular
197698100,continent,Central America,is_in
197698100,country,Costa Rica,is_in
197698100,country_code,CR,is_in
197698100,name,San José,regular
197698100,am,ሳን ሆዜ,name
197698100,ar,سان خوسيه، كوستاريكا,name
197698100,az,San-Xose,name
197698100,be,Сан-Хасэ,name
197698100,be-tarask,Сан-Хасэ,name
197698100,bg,Сан Хосе,name
197698100,bn,স্যান হোসে de কোস্টা রিকা,name
197698100,bo,སན་ཇོ་སེ།,name
197698100,bs,San Jose de Kostarika,name
197698100,de,San José,name
197698100,el,Σαν Χοσέ,name
197698100,eo,San-Joseo,name
197698100,fa,سان خوزه,name
197698100,gl,San Xosé de Costa Rica,name
197698100,he,סן חוסה,name
197698100,hi,सान होज़े,name
197698100,ht,San Jozé,name
197698100,hu,San José,name
197698100,hy,Սան Խոսե,name
197698100,io,San Jose,name
197698100,is,San José,name
197698100,ja,サンホセ,name
197698100,ka,სან-ხოსე,name
197698100,ko,산호세,name
197698100,lt,San Chosė,name
197698100,lv,Sanhosē,name
197698100,mk,Сан Хозе,name
197698100,mr,सान होजे de कोस्टा रिका,name
197698100,nl,San José,name
197698100,nn,San José i Costa Rica,name
197698100,os,Сан-Хосе,name
197698100,pap,San Jose,name
197698100,pl,San José,name
197698100,ru,Сан-Хосе,name
197698100,sah,Сан Хосе,name
197698100,sr,Сан Хосе,name
197698100,sv,San José de Costa Rica,name
197698100,sw,San Jose,name
197698100,ta,சான் ஹொசே de கோஸ்ட்டா ரிக்கா,name
197698100,th,ซันโฮเซ,name
197698100,ug,سان خوسې,name
197698100,uk,Сан-Хосе,name
197698100,ur,سان ہوزے,name
197698100,zh,聖荷西,name
197698100,place,city,regular
197698100,population,288054,regular
197698100,LOCODE,CRSJO,ref
197698100,wikidata,Q3070,regular
197698100,wikipedia,Wikipedia San José de Costa Rica,regular
267615345,highway,traffic_signals,regular
267615347,highway,traffic_signals,regular
267617483,highway,bus_stop,regular
267617484,highway,bus_stop,regular
267627534,crossing,traffic_signals,regular
267627534,highway,traffic_signals,regular
267627544,highway,traffic_signals,regular
267627544,source,KG Ground Survey 2014,regular
267628004,exit_to,102,regular
267628004,highway,motorway_junction,regular
267628109,highway,traffic_signals,regular
267628115,highway,traffic_signals,regular
267628171,highway,traffic_signals,regular
267628177,highway,traffic_signals,regular
267628177,source,KG Ground Survey 2014,regular
267628864,highway,traffic_signals,regular
267628866,highway,traffic_signals,regular
267628868,highway,traffic_signals,regular
267628868,traffic_signals,signal,regular
267629525,highway,traffic_signals,regular
267629525,traffic_signals,signal,regular
267631593,is_in,San Pablo de Heredia,regular
267631593,name,San Pablo,regular
267631593,place,town,regular
267631593,population,20000,regular
267631593,postcode,40901,addr
267631658,postcode,40501,addr
267631658,is_in,San Rafael de Heredia,regular
267631658,name,San Rafael,regular
267631658,place,town,regular
267631658,population,42000,regular
267631999,alt_name,Concepción de San Rafael,regular
267631999,is_in,Heredia de Costa Rica,regular
267631999,name,Concepción,regular
267631999,place,village,regular
267631999,population,2300,regular
267632809,is_in,San Isidro de Heredia,regular
267632809,name,San Isidro,regular
267632809,place,town,regular
267632809,population,6100,regular
267632809,postcode,40601,addr
267735533,highway,traffic_signals,regular
267735823,crossing,traffic_signals,regular
267735823,highway,crossing,regular
267735833,highway,traffic_signals,regular
267736200,crossing,traffic_signals,regular
267736200,highway,crossing,regular
267736201,crossing,zebra,regular
267736201,highway,crossing,regular
267736201,highway_1,traffic_signals,regular
267737586,highway,traffic_signals,regular
267738481,highway,traffic_signals,regular
267738815,highway,traffic_signals,regular
267738907,highway,traffic_signals,regular
267738908,highway,traffic_signals,regular
267738913,highway,traffic_signals,regular
267738940,highway,traffic_signals,regular
267738945,highway,traffic_signals,regular
267739041,highway,traffic_signals,regular
267743035,highway,traffic_signals,regular
267743124,highway,traffic_signals,regular
267743124,source,KG Ground Survey 2014,regular
267743391,highway,traffic_signals,regular
267743398,highway,traffic_signals,regular
267743398,source,KG Ground Survey 2014,regular
267743674,highway,traffic_signals,regular
267744047,highway,traffic_signals,regular
267744056,highway,traffic_signals,regular
267744057,highway,traffic_signals,regular
267744458,highway,traffic_signals,regular
267747289,highway,traffic_signals,regular
267747289,source,KG Ground Survey 2014,regular
267770964,highway,traffic_signals,regular
267770965,highway,traffic_signals,regular
267771146,highway,traffic_signals,regular
267772548,highway,traffic_signals,regular
267772554,crossing,traffic_signals,regular
267772554,highway,traffic_signals,regular
267772579,highway,traffic_signals,regular
267772579,traffic_signals,signal,regular
267772594,highway,traffic_signals,regular
267774753,highway,traffic_signals,regular
267774777,highway,traffic_signals,regular
267775315,exit_to,CI 1 o  El Coyol,regular
267775315,highway,motorway_junction,regular
267775315,name,Exit CI 1,regular
267775421,exit_to,CI 1 o  El Coyol,regular
267775421,highway,motorway_junction,regular
267775421,name,Exit CI 1,regular
267777843,highway,traffic_signals,regular
267789041,created_by,JOSM,regular
267789049,highway,traffic_signals,regular
267987467,exit_to,Alajuela,regular
267987467,highway,motorway_junction,regular
267987467,name,Salida Alajuela,regular
267987573,exit_to,129 de Los Geranos,regular
267987573,highway,motorway_junction,regular
267987573,name,129,regular
267987605,highway,traffic_signals,regular
267987619,highway,traffic_signals,regular
267989507,created_by,JOSM,regular
267989525,created_by,JOSM,regular
267989526,created_by,JOSM,regular
267989527,created_by,JOSM,regular
267989528,created_by,JOSM,regular
267989529,created_by,JOSM,regular
267989530,created_by,JOSM,regular
267989531,created_by,JOSM,regular
267989532,created_by,JOSM,regular
267989533,created_by,JOSM,regular
267989536,highway,give_way,regular
268086290,created_by,JOSM,regular
268086297,highway,turning_circle,regular
268086299,highway,turning_circle,regular
268086301,highway,turning_circle,regular
268086302,created_by,JOSM,regular
268086303,created_by,JOSM,regular
268086304,created_by,JOSM,regular
268086310,created_by,JOSM,regular
268086311,created_by,JOSM,regular
268086312,created_by,JOSM,regular
268086313,created_by,JOSM,regular
268086316,created_by,JOSM,regular
268086388,created_by,JOSM,regular
268086393,created_by,JOSM,regular
268086433,created_by,JOSM,regular
268086438,created_by,JOSM,regular
268086451,highway,turning_circle,regular
268086473,created_by,JOSM,regular
268086474,created_by,JOSM,regular
268086478,created_by,JOSM,regular
268113892,created_by,JOSM,regular
268113905,created_by,JOSM,regular
268113907,created_by,JOSM,regular
268113909,created_by,JOSM,regular
268113910,created_by,JOSM,regular
268113930,created_by,JOSM,regular
268113957,created_by,JOSM,regular
268113961,created_by,JOSM,regular
268113962,created_by,JOSM,regular
268113963,created_by,JOSM,regular
268116407,highway,traffic_signals,regular
268116497,created_by,JOSM,regular
268119779,highway,turning_circle,regular
268131261,created_by,JOSM,regular
268131263,created_by,JOSM,regular
268131264,created_by,JOSM,regular
268131266,crossing,traffic_signals,regular
268131266,highway,traffic_signals,regular
268131266,traffic_signals,signal,regular
268133242,created_by,JOSM,regular
268133243,created_by,JOSM,regular
268133244,created_by,JOSM,regular
268133245,created_by,JOSM,regular
268133281,created_by,JOSM,regular
268133373,created_by,JOSM,regular
268133374,created_by,JOSM,regular
268133375,created_by,JOSM,regular
268133376,created_by,JOSM,regular
268133380,created_by,JOSM,regular
268133381,created_by,JOSM,regular
268133384,created_by,JOSM,regular
268133385,created_by,JOSM,regular
268146637,created_by,JOSM,regular
268150069,highway,traffic_signals,regular
268150069,source,KG Ground Survey 2014,regular
268150080,highway,traffic_signals,regular
268150080,source,KG Ground Survey 2014,regular
268381536,barrier,gate,regular
268381539,barrier,gate,regular
268381789,created_by,JOSM,regular
268382413,created_by,JOSM,regular
268382418,created_by,JOSM,regular
268382668,highway,turning_circle,regular
268382674,highway,turning_circle,regular
268382702,created_by,JOSM,regular
268384022,highway,turning_circle,regular
268384024,highway,turning_circle,regular
268384025,highway,turning_circle,regular
268384026,highway,turning_circle,regular
268384027,created_by,JOSM,regular
268384028,created_by,JOSM,regular
268384031,created_by,JOSM,regular
268384032,created_by,JOSM,regular
268384034,highway,turning_circle,regular
268384342,created_by,JOSM,regular
268384362,created_by,JOSM,regular
268384363,created_by,JOSM,regular
268384364,created_by,JOSM,regular
268384365,created_by,JOSM,regular
268384366,created_by,JOSM,regular
268384367,created_by,JOSM,regular
268384368,created_by,JOSM,regular
268384370,created_by,JOSM,regular
268384371,created_by,JOSM,regular
268384372,created_by,JOSM,regular
268384373,created_by,JOSM,regular
268384374,created_by,JOSM,regular
268384375,created_by,JOSM,regular
268384376,created_by,JOSM,regular
268384433,created_by,JOSM,regular
268384437,highway,mini_roundabout,regular
268384442,highway,turning_circle,regular
268384443,highway,turning_circle,regular
268384444,highway,turning_circle,regular
268384445,highway,turning_circle,regular
268384446,highway,turning_circle,regular
268384517,created_by,JOSM,regular
268384587,created_by,JOSM,regular
268384588,created_by,JOSM,regular
268384607,created_by,JOSM,regular
268384609,created_by,JOSM,regular
268384610,created_by,JOSM,regular
268384611,created_by,JOSM,regular
268384612,highway,turning_circle,regular
268384983,created_by,JOSM,regular
268385837,highway,turning_circle,regular
268385852,created_by,JOSM,regular
268385933,city,Heredia,addr
268385933,amenity,bank,regular
268385933,atm,yes,regular
268385933,name,Scotiabank,regular
268522496,exit_to,CI 1 o El Coyol,regular
268522496,highway,motorway_junction,regular
268522496,name,Salida CI 1,regular
268522504,exit_to,Aeropuerto,regular
268522504,highway,motorway_junction,regular
268522504,name,Salida Aeropuerto,regular
268522524,created_by,JOSM,regular
268522525,exit_to,Aeropuerto,regular
268522525,highway,motorway_junction,regular
268522525,name,Salida Aeropuerto,regular
268523224,created_by,JOSM,regular
268523226,created_by,JOSM,regular
268523227,created_by,JOSM,regular
268523234,created_by,JOSM,regular
268523235,created_by,JOSM,regular
268523236,created_by,JOSM,regular
268523237,created_by,JOSM,regular
268523239,created_by,JOSM,regular
268523241,created_by,JOSM,regular
268523245,created_by,JOSM,regular
268523787,created_by,JOSM,regular
269754907,exit_to,Escazú o  CN 105 o  CN 167,regular
269754907,highway,motorway_junction,regular
269754907,name,Exit Escazú,regular
269867381,highway,traffic_signals,regular
269867428,highway,traffic_signals,regular
269906158,bus,yes,regular
269906158,highway,bus_stop,regular
269906158,name,Parada bus Periférica L4,regular
269906191,highway,traffic_signals,regular
269906191,traffic_signals,signal,regular
269918354,highway,traffic_signals,regular
270074914,highway,traffic_signals,regular
270074916,highway,traffic_signals,regular
270074935,highway,traffic_signals,regular
270074936,crossing,zebra,regular
270074936,highway,traffic_signals,regular
270074936,source,KG Ground Survey 2014,regular
270099755,exit_to,102,regular
270099755,highway,motorway_junction,regular
271379583,highway,traffic_signals,regular
271385053,highway,traffic_signals,regular
271385053,source,KG Ground Survey 2014,regular
271444546,highway,traffic_signals,regular
271517275,highway,traffic_signals,regular
272710681,crossing,zebra,regular
272710681,highway,crossing,regular
272741613,highway,traffic_signals,regular
272752938,exit_to,Tres Ríos,regular
272752938,highway,motorway_junction,regular
272786314,amenity,food_court,regular
272786314,level,0,regular
272786315,amenity,cinema,regular
272786315,level,1,regular
272786315,name,Cinépolis Terramall,regular
272786315,source,horariodecine.com/ES/cr/index.php?cine=Cinépolis Terramall,regular
272786342,highway,services,regular
272786342,toilets,yes,regular
272876548,postcode,10105,addr
272876548,name,Zapote,regular
272876548,place,suburb,regular
272876548,population,18679,regular
272876548,wikipedia,es:Zapote (distrito de San José),regular
272876550,postcode,11801,addr
272876550,is_in,Curridabat de San José,regular
272876550,name,Curridabat,regular
272876550,place,town,regular
272876550,population,52000,regular
272876550,wikipedia,es:Curridabat (Costa Rica),regular
272876556,postcode,10109,addr
272876556,name,Pavas,regular
272876556,place,suburb,regular
272876556,population,71384,regular
272876556,wikipedia,es:Pavas,regular
272884735,city,Guadalupe,addr
272884735,amenity,pharmacy,regular
272884735,name,Farmacia Chavarría Guadalupe,regular
272884735,opening_hours,Mo-Su 07:30-19:30,regular
272884735,phone,(506)25240006,regular
272884735,source,Sitio Oficial,regular
272884735,website,www.farmaciachavarria.com,regular
272884778,highway,traffic_signals,regular
272884778,source,KG Ground Survey 2014,regular
272902005,highway,traffic_signals,regular
272902005,traffic_signals,signal,regular
272902015,highway,traffic_signals,regular
272902030,highway,traffic_signals,regular
272902030,traffic_signals,signal,regular
272902042,highway,traffic_signals,regular
272902042,traffic_signals,signal,regular
272902046,highway,traffic_signals,regular
272902062,highway,traffic_signals,regular
272902096,postcode,10201,addr
272902096,alt_name,La Ciudad de las Brujas,regular
272902096,name,Escazú,regular
272902096,place,town,regular
272902096,population,11984,regular
272902096,wikidata,Q2569148,regular
272902096,wikipedia,es:Escazú,regular
272982559,amenity,place_of_worship,regular
272982559,denomination,catholic,regular
272982559,name,Iglesia de Concepción,regular
272982559,religion,christian,regular
273087130,highway,traffic_signals,regular
273087134,highway,traffic_signals,regular
273087135,highway,traffic_signals,regular
273092236,bicycle,yes,regular
273092236,crossing,traffic_signals,regular
273092236,highway,traffic_signals,regular
273104979,postcode,10107,addr
273104979,name,Uruca,regular
273104979,place,suburb,regular
273104979,population,31728,regular
273104979,wikipedia,es:La Uruca,regular
273106202,name,San Sebastián,regular
273106202,place,suburb,regular
273106202,population,40224,regular
273106202,postcode,10111,addr
273106202,wikipedia,es:San Sebastián (Costa Rica),regular
273110366,highway,traffic_signals,regular
273110382,highway,traffic_signals,regular
273110431,railway,level_crossing,regular
273110432,railway,level_crossing,regular
273110443,railway,level_crossing,regular
273114656,highway,traffic_signals,regular
273114688,postcode,11001,addr
273114688,name,Alajuelita,regular
273114688,place,town,regular
273114688,population,15000,regular
273114688,wikidata,Q3410901,regular
273143356,highway,crossing,regular
273143361,highway,traffic_signals,regular
273143361,traffic_signals,signal,regular
273153750,highway,turning_circle,regular
273153751,highway,turning_circle,regular
273380389,highway,traffic_signals,regular
273380391,highway,traffic_signals,regular
273380391,source,KG Ground Survey 2014,regular
273380432,highway,traffic_signals,regular
273380432,source,KG Ground Survey 2014,regular
273380449,highway,traffic_signals,regular
273380449,source,KG Ground Survey 2014,regular
273380453,highway,traffic_signals,regular
273380453,source,KG Ground Survey 2014,regular
273380455,highway,traffic_signals,regular
273380455,source,KG Ground Survey 2014,regular
273380459,highway,traffic_signals,regular
273380459,source,KG Ground Survey 2014,regular
273380474,highway,traffic_signals,regular
273380474,traffic_signals,signal,regular
273380524,highway,traffic_signals,regular
273380526,highway,traffic_signals,regular
273426089,highway,traffic_signals,regular
273426095,noexit,yes,regular
273426099,highway,traffic_signals,regular
273426124,highway,traffic_signals,regular
273426124,traffic_signals,signal,regular
273426135,railway,level_crossing,regular
273427723,highway,traffic_signals,regular
273427723,traffic_signals,signal,regular
273438337,highway,traffic_signals,regular
273438337,traffic_signals,signal,regular
273449401,highway,traffic_signals,regular
273449401,traffic_signals,signal,regular
273451463,railway,level_crossing,regular
273451465,railway,level_crossing,regular
273451469,highway,traffic_signals,regular
273451469,traffic_signals,signal,regular
273451473,highway,traffic_signals,regular
275303168,highway,traffic_signals,regular
275303196,highway,traffic_signals,regular
275648837,highway,traffic_signals,regular
275648841,highway,traffic_signals,regular
275648842,highway,traffic_signals,regular
275649289,highway,traffic_signals,regular
275649289,source,KG Ground Survey 2014,regular
275652303,highway,traffic_signals,regular
275656560,highway,traffic_signals,regular
275659109,highway,traffic_signals,regular
275663062,highway,traffic_signals,regular
275663062,traffic_signals,signal,regular
275666302,highway,traffic_signals,regular
275671472,highway,traffic_signals,regular
275688412,highway,traffic_signals,regular
275688412,traffic_signals,signal,regular
275694879,highway,turning_circle,regular
275695248,highway,turning_circle,regular
275707921,highway,traffic_signals,regular
275707921,traffic_signals,signal,regular
275708284,created_by,Merkaartor 0.12,regular
275708754,created_by,Merkaartor 0.12,regular
275708755,created_by,Merkaartor 0.12,regular
275727650,name,AutoMercado,regular
275727650,shop,supermarket,regular
275727650,source,KG Ground Survey 2015,regular
275728655,highway,turning_circle,regular
275728679,highway,turning_circle,regular
275730386,city,San Antonio,addr
275730386,street,Calle 156,addr
275730386,amenity,fire_station,regular
275730386,email,belen@bomberos.go.cr,regular
275730386,name,Estación de Bomberos,regular
275730386,operator,INS,regular
275730386,phone,(506)22395717,regular
275730389,city,San Antonio,addr
275730389,street,Calle 156,addr
275730389,emergency,ambulance_station,regular
275730389,name,Cruz Roja,regular
275730862,highway,traffic_signals,regular
275730904,is_in,Alajuela de Alajuela,regular
275730904,name,Alajuela,regular
275730904,place,city,regular
275730904,population,125000,regular
275730904,postcode,20101,addr
275730904,wikidata,Q37104,regular
275730904,wikipedia,en:Alajuela,regular
275738747,highway,traffic_signals,regular
275739696,highway,traffic_signals,regular
275787245,highway,traffic_signals,regular
275787245,source,KG Ground Survey 2014,regular
275798876,crossing,traffic_signals,regular
275798876,highway,traffic_signals,regular
275798904,exit_to,101,regular
275798904,highway,motorway_junction,regular
275930704,highway,traffic_signals,regular
275930710,highway,traffic_signals,regular
275932931,highway,traffic_signals,regular
275935332,highway,traffic_signals,regular
275937693,highway,traffic_signals,regular
275941447,highway,traffic_signals,regular
275941447,traffic_signals,signal,regular
275991117,name,Heredia,regular
275991117,en,Heredia,name
275991117,hu,Heredia,name
275991117,ru,Эредия,name
275991117,place,city,regular
275991117,population,117000,regular
275991117,wikidata,Q30616,regular
275991117,wikipedia,Wikipedia Heredia de Costa Rica,regular
276002882,highway,traffic_signals,regular
276002882,traffic_signals,signal,regular
276006880,highway,mini_roundabout,regular
276008934,highway,turning_circle,regular
276020800,railway,level_crossing,regular
276046429,highway,traffic_signals,regular
276046432,highway,traffic_signals,regular
276046433,highway,traffic_signals,regular
276050086,highway,traffic_signals,regular
276050798,highway,traffic_signals,regular
276051253,highway,traffic_signals,regular
276051865,highway,traffic_signals,regular
276052382,highway,traffic_signals,regular
276053297,highway,traffic_signals,regular
276063078,highway,traffic_signals,regular
276065521,railway,level_crossing,regular
276066224,historic,monument,regular
276066224,leisure,park,regular
276066224,name,Monumento a Juan Santamaría,regular
276161089,highway,traffic_signals,regular
276161110,highway,traffic_signals,regular
276161324,highway,traffic_signals,regular
276161325,highway,traffic_signals,regular
276161327,highway,traffic_signals,regular
276161327,traffic_signals,signal,regular
276161328,highway,traffic_signals,regular
276161328,source,KG Ground Survey 2014,regular
276169074,postcode,11401,addr
276169074,is_in,Moravia de San José,regular
276169074,name,San Vicente,regular
276169074,place,town,regular
276169074,population,35000,regular
276169074,wikidata,Q3211297,regular
276169074,wikipedia,Wikipedia San Vicente de Moravia,regular
276212481,highway,traffic_signals,regular
276213866,highway,traffic_signals,regular
276213868,traffic_calming,bump,regular
276215295,highway,traffic_signals,regular
276232998,highway,traffic_signals,regular
276234844,highway,traffic_signals,regular
276238841,highway,traffic_signals,regular
276238841,traffic_signals,signal,regular
276238858,highway,crossing,regular
276238889,highway,traffic_signals,regular
276238889,traffic_signals,signal,regular
276241175,highway,traffic_signals,regular
276241175,traffic_signals,signal,regular
276241198,highway,traffic_signals,regular
276241198,traffic_signals,signals,regular
276244647,highway,stop,regular
276244647,stop,minor,regular
276252966,highway,traffic_signals,regular
276253314,highway,stop,regular
276253622,highway,stop,regular
276253622,stop,minor,regular
276254545,highway,traffic_signals,regular
276255226,highway,traffic_signals,regular
276255227,highway,traffic_signals,regular
276255241,highway,traffic_signals,regular
276256267,highway,traffic_signals,regular
276256269,highway,traffic_signals,regular
276256575,highway,traffic_signals,regular
276256988,highway,turning_circle,regular
276257330,railway,level_crossing,regular
276258540,highway,traffic_signals,regular
276258566,railway,level_crossing,regular
276258783,railway,level_crossing,regular
276523282,highway,turning_circle,regular
276523284,highway,turning_circle,regular
276523346,highway,turning_circle,regular
276523348,highway,turning_circle,regular
276523369,highway,turning_circle,regular
276523415,highway,turning_circle,regular
276523512,highway,turning_circle,regular
276523552,highway,turning_circle,regular
276524393,railway,level_crossing,regular
276524905,crossing,unmarked,regular
276524905,railway,level_crossing,regular
276524920,name,Ojo de Agua,regular
276524920,operator,Incofer,regular
276524920,railway,station,regular
276525196,name,Metrópoli,regular
276525196,public_transport,stop_position,regular
276525196,train,yes,regular
276525319,highway,turning_circle,regular
276529118,highway,traffic_signals,regular
276529118,traffic_signals,signal,regular
276540034,highway,traffic_signals,regular
276540034,traffic_signals,signal,regular
276540039,highway,traffic_signals,regular
276540039,traffic_signals,signal,regular
276540040,highway,traffic_signals,regular
276540040,traffic_signals,signal,regular
276540047,highway,traffic_signals,regular
276540047,traffic_signals,signal,regular
276540048,highway,traffic_signals,regular
276540048,traffic_signals,signal,regular
276557456,highway,traffic_signals,regular
276557456,traffic_signals,signal,regular
276557984,highway,traffic_signals,regular
276618404,postcode,40201,addr
276618404,is_in,Barva de Heredia,regular
276618404,name,Barva,regular
276618404,place,town,regular
276618404,population,6000,regular
276618404,wikidata,Q2414905,regular
276618404,wikipedia,en:Barva,regular
276618407,postcode,40401,addr
